1.6142,1.196,1.1967,1.0172,1
1.8874,1.5201,0.9561,0.88668,1
1.815,0.84301,1.0122,1.417,1
0.90727,0.64743,1.0324,0.96902,0
1.1936,1.3702,0.70847,0.90816,1
0.78639,1.0973,0.9642,1.4135,0
2.4594,1.017,1.179,1.2632,1
0.87351,0.88646,0.82054,0.89012,0
0.9617,0.89427,0.87309,0.94681,0
1.0106,0.95985,1.0961,1.0878,0
0.86833,0.697,0.96116,0.44399,0
4.6929,1.3784,1.4014,1.3733,1
1.2061,2.3967,1.4799,1.5193,1
1.608,1.5597,1.4204,1.1602,1
0.90538,1.0358,1.3785,1.0563,0
1.6989,0.6766,1.2928,0.54384,1
0.85851,0.88692,1.0608,0.74934,0
0.97071,1.2457,1.2214,0.67473,0
4.0209,1.9982,0.86543,1.1486,1
1.5042,1.3246,0.85873,0.94934,0
1.3837,1.8052,1.1688,1.4798,1
1.0825,1.3425,1.1268,1.063,0
0.96201,1.3099,1.0873,0.96217,0
0.97906,1.104,0.98412,1.0394,0
0.71039,1.0779,1.1273,1.1435,1
0.87173,1.1947,0.67173,0.68757,0
0.57698,1.1255,1.2234,0.79606,0
1.541,1.0217,0.99572,0.98076,1
3.6041,1.53,0.98018,0.97448,1
1.6376,1.3738,1.3232,1.5526,1
0.87898,1.4697,0.98245,1.0495,0
1.8899,1.5031,1.0316,1.1396,1
0.68203,1.0896,1.2404,1.1643,0
1.1898,2.1071,0.94963,1.0461,1
1.0735,0.95185,0.97817,1.163,0
0.59592,0.86823,1.2277,0.86649,0
1.0347,1.1375,1.3474,1.0781,0
1.2804,0.95897,1.251,0.83935,1
6.2924,1.7791,1.1807,0.97103,1
0.91281,0.87843,1.44,0.72857,0
4.1161,1.8327,0.95914,0.95797,1
1.1818,0.88935,1.1238,0.99636,0
2.5025,1.3736,1.2804,0.94173,1
1.3792,0.83114,1.1955,0.83841,0
0.73311,0.84309,0.91322,0.98355,0
0.82507,1.6145,1.3555,1.0744,0
1.1117,1.2468,0.84493,0.97734,0
0.85612,0.63732,0.97497,1.0381,0
0.97428,1.0983,0.70561,0.88642,0
1.8109,1.3335,1.3256,0.79105,1
0.93025,0.76959,1.1724,1.1581,0
4.1615,1.0002,1.1678,1.066,1
0.85161,1.0578,1.6155,0.6776,0
3.471,1.3014,1.7459,0.93913,1
1.5131,1.8782,1.3124,1.0477,1
1.0112,1.0335,0.77848,1.0504,0
1.3433,1.2372,1.0611,1.2977,1
0.96012,0.98326,1.2137,1.1255,0
2.0922,1.1987,1.1923,0.88874,1
3.4802,2.5827,1.2612,1.0191,1
3.998,1.2971,1.699,1.4275,1
1.467,1.0083,1.0146,0.86002,0
1.8894,1.4785,1.0984,1.2656,1
