1.1694,1.2871,1.2237,0.78308,0.92331,0
1.008,1.202,1.059,0.81872,0.69024,0
0.7355,0.91664,1.1007,1.1154,1.2005,0
2.5219,4.0232,1.354,1.1625,0.68848,1
1.9552,1.5277,0.84486,0.9373,1.1284,1
4.8957,1.5797,1.2933,0.95509,0.88969,1
1.7552,1.6603,0.86112,1.3762,1.0554,1
1.7841,1.2186,1.4682,1.0875,1.4486,1
2.3874,0.96057,2.1071,1.2602,0.99063,1
0.86628,1.0786,0.67313,1.0337,0.6739,0
1.5059,1.7828,1.9695,0.92791,1.0879,1
1.6358,1.0527,0.81629,1.2224,0.80717,1
0.97918,0.99295,0.97042,0.75269,0.82417,0
2.7242,1.4964,1.0942,1.0893,1.0031,1
4.1364,2.5747,2.2595,0.77475,1.0112,1
2.4593,1.1513,1.0762,1.3481,1.1301,1
0.50702,1.3594,1.025,1.3557,1.3236,1
1.1538,1.3936,0.95508,0.99309,0.75941,0
1.0431,0.67633,1.1266,0.76185,0.69197,0
1.2143,2.1686,1.4802,0.94823,1.2977,1
0.84452,1.0301,1.0188,0.752,1.233,0
0.81254,1.466,0.67398,1.3915,1.0973,0
1.3427,1.0007,1.643,0.85741,1.1532,1
1.4489,2.1423,1.5501,1.3085,1.4011,1
0.89586,1.1968,0.97067,1.1641,0.8493,0
2.6092,1.7977,1.7113,1.4942,0.7728,1
0.86212,1.269,0.7007,0.92292,0.68333,0
0.87546,0.7986,1.4276,1.2934,0.98342,0
3.1994,1.0886,1.0832,0.65663,1.4155,1
4.2011,1.3047,1.6104,0.85759,1.14,1
1.3544,1.0186,0.92892,1.1084,1.1055,0
1.2294,0.95589,0.91612,1.1437,0.88421,0
1.7956,1.4495,2.152,1.76,0.93378,1
1.7061,2.3018,1.2649,1.0048,1.2646,1
1.0366,1.0408,0.87009,1.0775,1.367,0
0.90231,1.4144,1.1739,1.2328,0.9834,1
1.1091,1.1997,1.3312,1.0526,0.97546,1
7.3654,1.1537,1.1144,1.0781,1.4668,1
1.0528,1.2044,1.5713,0.96428,1.3972,0
1.0836,0.82259,1.117,0.83213,0.93638,0
3.0441,1.1838,1.6561,1.1856,0.96304,1
0.81512,0.69596,1.1854,0.77532,0.7171,0
0.84765,0.97424,1.1849,1.017,0.92438,0
1.3539,1.2612,1.5128,1.001,1.0902,1
1.262,3.4607,1.4723,1.1803,1.3506,1
0.96391,0.97711,0.83155,1.5133,1.1732,1
3.47,1.3247,1.9023,1.1639,0.85879,1
1.2787,1.2338,1.2062,1.2501,0.85527,1
3.0043,1.4328,1.7728,0.74401,1.2742,1
1.3465,3.6803,1.1364,0.77767,0.67758,1
1.5535,2.4533,0.97767,1.1563,1.1518,1
0.93945,1.4648,0.75364,1.6513,0.70289,0
2.315,1.7556,0.71498,1.1336,1.6426,1
2.1132,1.5556,1.4826,1.2744,1.022,1
0.88791,0.88672,0.73869,0.9988,1.0419,0
1.1528,1.4842,0.7387,0.81178,0.72924,0
1.1879,0.83451,0.87212,0.89056,1.1131,0
0.99269,0.85922,0.99056,1.012,1.0375,0
2.1917,2.1558,0.77575,1.3485,1.1116,1
2.9631,1.2141,1.0529,1.0029,1.1414,1
1.4972,1.2306,1.043,1.0345,0.98525,0
1.4687,1.0028,1.157,1.7289,1.0188,1
0.91483,0.99169,0.85152,0.92585,1.475,0
1.6335,0.9961,0.94456,1.2636,1.0373,1
1.342,0.88153,0.98766,1.0264,0.77656,0
1.2524,0.68266,0.85184,1.0424,0.80095,0
1.123,1.2051,0.85537,1.0767,1.1939,0
1.7794,2.4199,1.053,0.78579,1.073,1
0.68266,1.0865,0.95089,0.9868,0.8998,0
1.0593,0.90927,1.0694,1.0359,0.86902,0
3.081,1.3599,1.9922,1.0962,1.4445,1
